PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
"1,20000101,2017-08-11T12:23:38.802Z,3,SuperBrugsen,6598,1,SuperBrugsen Plukbutik (Ringe),""Skovvej 21, Espe"",RINGE,5750,false,26770970,41287519,2000-01-01T00:00:00.000Z,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,08:00,16:00,Lukket,Lukket"
10,20000101,2017-08-11T12:23:37.542Z,3,SuperBrugsen,4155,10,SuperBrugsen Herfølge,Billesborgvej 26,HERFØLGE,4681,true,56274026,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
10,20180405,2018-04-04T13:23:36.870Z,3,SuperBrugsen,4155,10,SuperBrugsen Herfølge,Billesborgvej 26,HERFØLGE,4681,true,56274026,26259495,2018-04-05T00:00:00.000Z,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45
100,20000101,2017-08-11T12:23:43.921Z,2,Kvickly,6160,100,Kvickly Svendborg City,Gerritsgade 33,SVENDBORG,5700,true,62176600,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
100,20180820,2018-08-20T09:23:37.808Z,2,Kvickly,6160,100,Kvickly Svendborg City,Gerritsgade 33,SVENDBORG,5700,true,62176600,26259495,2018-08-20T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
1002,20000101,2017-08-11T12:24:08.029Z,4,Dagli'Brugsen,5550,1002,LokalBrugsen Thisted,Refsvej 28,THISTED,7700,true,96193320,26259495,2000-01-01T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,16:00,12:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
1002,20180424,2018-04-23T13:23:38.897Z,4,Dagli'Brugsen,5550,1002,LokalBrugsen Thisted,Refsvej 28,THISTED,7700,true,96193320,26259495,2018-04-24T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,16:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
1002,20180704,2018-07-03T21:23:39.271Z,4,Dagli'Brugsen,5550,1002,LokalBrugsen Thisted,Refsvej 28,THISTED,7700,false,96193320,26259495,2018-07-04T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,16:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
"1004,20000101,2017-08-11T12:23:41.389Z,6,Færøerne,8901,1004,Torshavn,""Dr Jacobsensgøta 6, Box 349"",TORSHAVN,100,false,98660010,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
"1005,20000101,2017-08-11T12:23:41.448Z,6,Færøerne,8904,1005,Hoyvik,""Brekkutun 9, Box 349"",HOYVIK,188,false,98660050,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
"1008,20000101,2017-08-11T12:23:41.409Z,6,Færøerne,8902,1008,Fuglafjørdur,""Toftavegur 12, Box 84"",FUGLAFJORDUR,530,false,98660020,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
"1009,20000101,2017-08-11T12:23:41.428Z,6,Færøerne,8903,1009,Klaksvik,""N Palsgøta 10, Box 219"",KLAKSVIK,700,false,98660030,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
"101,20000101,2018-04-20T16:21:54.835Z,17,Grønland,7685,101,""brugseneeraq, kussangasoq"",""Postbox 1019, Sisimiut"",SISIMIUT,3911,false,99865840,0,2000-01-01T00:00:00.000Z,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,18:00,08:00,13:00,08:00,13:00"
"101,20180323,2018-04-20T16:21:54.835Z,17,Grønland,7685,101,""brugseneeraq, kussangasoq"",""Postbox 1019, Sisimiut"",SISIMIUT,3911,true,99865840,0,2018-03-23T00:00:00.000Z,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00"
"101,20180421,2018-04-20T21:23:37.519Z,17,Grønland,7685,101,""brugseneeraq, kussangasoq"",Bolethep Aqq 1,SISIMIUT,3911,true,99865840,0,2018-04-21T00:00:00.000Z,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00"
"101,20180609,2018-06-08T21:23:36.262Z,17,Grønland,7685,101,""Brugseneeraq Kussangasoq, Sisimiut"",Bolethep Aqq 1,SISIMIUT,3911,true,99865840,0,2018-06-09T00:00:00.000Z,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00"
"1010,20000101,2017-08-11T12:23:41.469Z,6,Færøerne,8908,1010,Tvøroyi,""Tradarvegur 165, Box 34"",TVØROYRI,800,false,98660080,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
"1011,20000101,2017-08-11T12:23:41.494Z,6,Færøerne,8909,1011,Skalafjørdur,""Heidavegur 106, Box 222"",SALTANGARA,600,false,98660090,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
